Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/02/2020,Aurora,,10,1
08/02/2020,Boulder,,0,2
08/02/2020,Broomfield,12868.8,0,3
08/02/2020,CO Springs - JD Phillips,24177.4,5,4
08/02/2020,CO Springs - Las Vegas,50393.5,15,5
08/02/2020,Estes Park + Upper Thompson,4811.4,0,6
08/02/2020,Fort Collins - Boxelder,71341.9,0,7
08/02/2020,Fort Collins - Drake,1322.7,0,8
08/02/2020,Fort Collins - Mulberry,0,0,9
08/02/2020,Greeley,3512.1,0,10
08/02/2020,Longmont,,0,11
08/02/2020,Louisville,1256.1,0,12
08/02/2020,Loveland,,0,13
08/02/2020,Metro Wastewater RWHTF - CC,14555.4,13,14
08/02/2020,Metro Wastewater RWHTF - PRC,6384.8,28,15
08/02/2020,Northglenn,,0,16
08/02/2020,Pueblo,2635.4,0,17
08/02/2020,Pueblo West,,0,18
08/02/2020,South Adams County,,0,19
08/02/2020,South Fort Collins,7099.6,0,20
08/02/2020,SPR,,9,21
08/02/2020,Wellington Water and Sewer,,0,22
08/03/2020,Aurora,,16,23
08/03/2020,Boulder,,0,24
08/03/2020,Broomfield,,0,25
08/03/2020,CO Springs - JD Phillips,,6,26
08/03/2020,CO Springs - Las Vegas,,27,27
08/03/2020,Estes Park + Upper Thompson,,0,28
08/03/2020,Fort Collins - Boxelder,,0,29
08/03/2020,Fort Collins - Drake,,0,30
08/03/2020,Fort Collins - Mulberry,,0,31
08/03/2020,Greeley,,0,32
08/03/2020,Longmont,,0,33
08/03/2020,Louisville,,0,34
08/03/2020,Loveland,,0,35
08/03/2020,Metro Wastewater RWHTF - CC,,30,36
08/03/2020,Metro Wastewater RWHTF - PRC,,48,37
08/03/2020,Northglenn,,0,38
08/03/2020,Pueblo,,0,39
08/03/2020,Pueblo West,,0,40
08/03/2020,South Adams County,,6,41
08/03/2020,South Fort Collins,,0,42
08/03/2020,SPR,,12,43
08/03/2020,Wellington Water and Sewer,,0,44
08/04/2020,Aurora,,18,45
08/04/2020,Boulder,,0,46
08/04/2020,Broomfield,,0,47
08/04/2020,CO Springs - JD Phillips,,6,48
08/04/2020,CO Springs - Las Vegas,,25,49
08/04/2020,Estes Park + Upper Thompson,,0,50
08/06/2020,Loveland,,0,51
08/06/2020,Metro Wastewater RWHTF - CC,17308.9,40,52
08/06/2020,Metro Wastewater RWHTF - PRC,7078.3,53,53
08/06/2020,Northglenn,,7,54
08/06/2020,Pueblo,17677.7,6,55
08/06/2020,Pueblo West,,0,56
08/06/2020,South Adams County,0,7,57
08/06/2020,South Fort Collins,19275.9,0,58
08/06/2020,SPR,15333.7,11,59
08/06/2020,Wellington Water and Sewer,,0,60
08/07/2020,Aurora,,30,61
08/07/2020,Boulder,,0,62
08/07/2020,Broomfield,,0,63
08/07/2020,CO Springs - JD Phillips,,5,64
08/07/2020,CO Springs - Las Vegas,,18,65
08/07/2020,Estes Park + Upper Thompson,,0,66
08/07/2020,Fort Collins - Boxelder,,0,67
08/07/2020,Fort Collins - Drake,,8,68
08/07/2020,Fort Collins - Mulberry,,0,69
08/07/2020,Greeley,,5,70
08/07/2020,Longmont,,0,71
08/07/2020,Louisville,,0,72
08/07/2020,Loveland,,0,73
08/07/2020,Metro Wastewater RWHTF - CC,,40,74
08/07/2020,Metro Wastewater RWHTF - PRC,,50,75
08/07/2020,Northglenn,,7,76
08/07/2020,Pueblo,,5,77
08/07/2020,Pueblo West,,0,78
08/07/2020,South Adams County,,9,79
08/07/2020,South Fort Collins,,0,80
08/07/2020,SPR,,8,81
08/07/2020,Wellington Water and Sewer,,0,82
08/08/2020,Aurora,,27,83
08/08/2020,Boulder,,0,84
