OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,444,6824,6506.45,441,3,5,5,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,236,2229,10587.71,236,0,3,3,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,130,1825,7123.29,130,0,6,6,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,226,5059,4467.29,225,1,2,2,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,4129,56272,7337.57,4123,6,41,41,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,47,726,6473.83,47,0,,,,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2612,17756,14710.52,2609,3,4,4,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,830,18844,4404.59,829,1,5,5,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1722,16181,10642.11,1721,1,37,37,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1277,12122,10534.57,1277,0,22,22,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,996,13252,7515.85,990,6,24,24,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,48833,583081,8374.99,48779,54,800,800,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3766,30983,12155.05,3757,9,8,8,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,19569,168110,11640.59,19559,10,418,418,0,556542,5763976,9655.52,6770,6971,31513,3159121,8996508,64,5492,Colorado Department of Public Health and Environment,"Data through June 25, 2021",0.638492791357976,3.43119645764386
