OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,313,6824,4586.75,312,1,4,4,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,191,2229,8568.86,191,0,2,2,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,125,1825,6849.32,125,0,5,5,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,164,5059,3241.75,164,0,1,1,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,2890,56272,5135.77,2879,11,37,37,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,41,726,5647.38,41,0,,,,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,1947,17756,10965.31,1941,6,4,4,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,540,18844,2865.63,539,1,5,5,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1255,16181,7756.01,1257,-2,28,28,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1157,12122,9544.63,1157,0,21,21,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,657,13252,4957.74,657,0,22,22,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,36588,583081,6274.94,36523,65,706,706,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,2961,30983,9556.85,2958,3,7,7,0,421294,5763976,7309.09,5893,5723,23183,2537701,6026476,64,3817,Colorado Department of Public Health and Environment,"Data through February 21, 2021",0.168272135535972,2.59953699733241
