OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,331,6824,4850.53,331,0,4,4,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,199,2229,8927.77,199,0,2,2,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,126,1825,6904.11,126,0,6,6,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,171,5059,3380.11,171,0,1,1,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3306,56272,5875.04,3300,6,37,37,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,44,726,6060.61,44,0,,,,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2399,17756,13510.93,2394,5,4,4,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,607,18844,3221.18,607,0,5,5,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1342,16181,8293.68,1343,-1,29,29,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1169,12122,9643.62,1169,0,21,21,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,695,13252,5244.49,695,0,22,22,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,40162,583081,6887.89,40108,54,731,731,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.210187679847877,2.86344185299337
13,Summit County,08117,Summit,08,SUMMIT,117,3359,30983,10841.43,3342,17,7,7,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.168272135535972,2.59953699733241
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,15748,168110,9367.68,15691,57,364,364,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.638492791357976,3.43119645764386
15,Boulder County,08013,Boulder,08,BOULDER,013,20430,327164,6244.57,20351,79,227,227,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,63851,729239,8755.84,63786,65,781,781,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,3321,42765,7765.7,3321,0,57,57,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,5694,55070,10339.57,5687,7,22,22,0,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,848,8174,10374.36,848,0,,,,459361,5763976,7969.52,6092,6208,25367,2715519,6919702,64,4244,Colorado Department of Public Health and Environment,"Data through March 28, 2021",0.34238906379619,3.44955895760726
