OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,419,6824,6140.09,416,3,5,5,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,236,2229,10587.71,236,0,3,3,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,130,1825,7123.29,130,0,6,6,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,214,5059,4230.08,214,0,1,1,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,4060,56272,7214.96,4058,2,41,41,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,49,726,6749.31,49,0,,,,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2603,17756,14659.83,2602,1,4,4,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,825,18844,4378.05,825,0,5,5,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1706,16181,10543.23,1702,4,36,36,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1270,12122,10476.82,1267,3,22,22,0,549084,5763976,9526.13,6666,6830,30822,3106571,8772460,64,5460,Colorado Department of Public Health and Environment,"Data through June 9, 2021",0.436578121041293,2.65950781753648
