OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,326,6824,4777.26,327,-1,4,4,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,196,2229,8793.18,194,2,2,2,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,125,1825,6849.32,125,0,5,5,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,164,5059,3241.75,164,0,1,1,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,3141,56272,5581.82,3120,21,37,37,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,43,726,5922.87,43,0,,,,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,2152,17756,12119.85,2138,14,4,4,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,572,18844,3035.45,571,1,5,5,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1326,16181,8194.8,1320,6,29,29,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1162,12122,9585.88,1162,0,21,21,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,690,13252,5206.76,690,0,22,22,0,442753,5763976,7681.38,6036,6072,24185,2645720,6557486,64,4080,Colorado Department of Public Health and Environment,"Data through March 12, 2021",1.30950090392707,5.03264724477475
